UTCdate_____	UTCtime___	UTCsec____	GPSLong	GPSLat	GPSAlt	GPSTDiff	GPShdop	BaroYoung
"02.06.2022"	"00:00:49"	1654128049	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9705e+02
"02.06.2022"	"00:01:49"	1654128109	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9706e+02
"02.06.2022"	"00:02:49"	1654128169	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9706e+02
"02.06.2022"	"00:03:49"	1654128229	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9705e+02
"02.06.2022"	"00:04:49"	1654128289	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9707e+02
"02.06.2022"	"00:05:49"	1654128349	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9705e+02
"02.06.2022"	"00:06:49"	1654128409	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9708e+02
"02.06.2022"	"00:07:49"	1654128469	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9708e+02
"02.06.2022"	"00:08:49"	1654128529	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9708e+02
"02.06.2022"	"00:09:49"	1654128589	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9705e+02
"02.06.2022"	"00:10:49"	1654128649	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9703e+02
"02.06.2022"	"00:11:49"	1654128709	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9703e+02
"02.06.2022"	"00:12:49"	1654128769	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9703e+02
"02.06.2022"	"00:13:49"	1654128829	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9704e+02
"02.06.2022"	"00:14:49"	1654128889	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9709e+02
"02.06.2022"	"00:15:49"	1654128949	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9709e+02
"02.06.2022"	"00:16:49"	1654129009	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9709e+02
"02.06.2022"	"00:17:49"	1654129069	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9712e+02
"02.06.2022"	"00:18:49"	1654129129	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9711e+02
"02.06.2022"	"00:19:49"	1654129189	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9710e+02
"02.06.2022"	"00:20:49"	1654129249	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9709e+02
"02.06.2022"	"00:21:49"	1654129309	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9709e+02
"02.06.2022"	"00:22:49"	1654129369	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9708e+02
"02.06.2022"	"00:23:49"	1654129429	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9709e+02
"02.06.2022"	"00:24:49"	1654129489	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9709e+02
"02.06.2022"	"00:25:49"	1654129549	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9709e+02
"02.06.2022"	"00:26:49"	1654129609	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9705e+02
"02.06.2022"	"00:27:49"	1654129669	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9703e+02
"02.06.2022"	"00:28:49"	1654129729	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9704e+02
"02.06.2022"	"00:29:49"	1654129789	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9706e+02
"02.06.2022"	"00:30:49"	1654129849	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9705e+02
"02.06.2022"	"00:31:49"	1654129909	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9707e+02
"02.06.2022"	"00:32:49"	1654129969	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9708e+02
"02.06.2022"	"00:33:49"	1654130029	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9710e+02
"02.06.2022"	"00:34:49"	1654130089	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9708e+02
"02.06.2022"	"00:35:49"	1654130149	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9713e+02
"02.06.2022"	"00:36:49"	1654130209	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9714e+02
"02.06.2022"	"00:37:49"	1654130269	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9719e+02
"02.06.2022"	"00:38:49"	1654130329	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9721e+02
"02.06.2022"	"00:39:49"	1654130389	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9726e+02
"02.06.2022"	"00:40:49"	1654130449	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9728e+02
"02.06.2022"	"00:41:49"	1654130509	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9729e+02
"02.06.2022"	"00:42:49"	1654130569	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9729e+02
"02.06.2022"	"00:43:49"	1654130629	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9725e+02
"02.06.2022"	"00:44:49"	1654130689	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9724e+02
"02.06.2022"	"00:45:49"	1654130749	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9723e+02
"02.06.2022"	"00:46:49"	1654130809	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9722e+02
"02.06.2022"	"00:47:49"	1654130869	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9721e+02
"02.06.2022"	"00:48:49"	1654130929	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9718e+02
"02.06.2022"	"00:49:49"	1654130989	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9716e+02
"02.06.2022"	"00:50:49"	1654131049	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9716e+02
"02.06.2022"	"00:51:49"	1654131109	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9712e+02
"02.06.2022"	"00:52:49"	1654131169	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9706e+02
"02.06.2022"	"00:53:49"	1654131229	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9703e+02
"02.06.2022"	"00:54:49"	1654131289	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	-3.4028e+38	+9.9700e+02
