UTCtime___,BaroTHB40,BaroYoung,GPSAlt,GPSLat,GPSLong,GPSTDiff,GPShdop,HygroTHB40,ThermoTHB40,UTCdate_____,UTCsec____
00:00:49,NaN,997.05,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654128049
00:01:49,NaN,997.06,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654128109
00:02:49,NaN,997.06,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654128169
00:03:49,NaN,997.05,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654128229
00:04:49,NaN,997.07,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654128289
00:05:49,NaN,997.05,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654128349
00:06:49,NaN,997.08,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654128409
00:07:49,NaN,997.08,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654128469
00:08:49,NaN,997.08,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654128529
00:09:49,NaN,997.05,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654128589
00:10:49,NaN,997.03,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654128649
00:11:49,NaN,997.03,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654128709
00:12:49,NaN,997.03,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654128769
00:13:49,NaN,997.04,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654128829
00:14:49,NaN,997.09,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654128889
00:15:49,NaN,997.09,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654128949
00:16:49,NaN,997.09,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654129009
00:17:49,NaN,997.12,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654129069
00:18:49,NaN,997.11,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654129129
00:19:49,NaN,997.1,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654129189
00:20:49,NaN,997.09,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654129249
00:21:49,NaN,997.09,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654129309
00:22:49,NaN,997.08,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654129369
00:23:49,NaN,997.09,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654129429
00:24:49,NaN,997.09,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654129489
00:25:49,NaN,997.09,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654129549
00:26:49,NaN,997.05,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654129609
00:27:49,NaN,997.03,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654129669
00:28:49,NaN,997.04,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654129729
00:29:49,NaN,997.06,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654129789
00:30:49,NaN,997.05,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654129849
00:31:49,NaN,997.07,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654129909
00:32:49,NaN,997.08,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654129969
00:33:49,NaN,997.1,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654130029
00:34:49,NaN,997.08,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654130089
00:35:49,NaN,997.13,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654130149
00:36:49,NaN,997.14,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654130209
00:37:49,NaN,997.19,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654130269
00:38:49,NaN,997.21,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654130329
00:39:49,NaN,997.26,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654130389
00:40:49,NaN,997.28,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,-3.4028e+38,NaN,NaN,02.06.2022,1654130449
