timestamp,TUM_I_xco2,TAU_xco2,GRA_xco2,OBE_xco2,FEL_xco2,TUM_I_xch4,TAU_xch4,GRA_xch4,OBE_xch4,FEL_xch4
1629300420,410.35323,0.0,0.0,0.0,0.0,1.89487,0.0,0.0,0.0,0.0
1629300540,410.36723,0.0,0.0,0.0,0.0,1.89475,0.0,0.0,0.0,0.0
1629300660,410.38016,0.0,0.0,0.0,0.0,1.89471,0.0,0.0,0.0,0.0
1629300780,410.37256,0.0,0.0,0.0,0.0,1.89455,0.0,0.0,0.0,0.0
1629300900,410.38343,0.0,0.0,0.0,0.0,1.89447,0.0,0.0,0.0,0.0
1629301020,410.39725,0.0,0.0,0.0,0.0,1.89442,0.0,0.0,0.0,0.0
1629301140,410.39857,0.0,0.0,0.0,0.0,1.89438,0.0,0.0,0.0,0.0
1629301260,410.38286,0.0,0.0,0.0,0.0,1.89434,0.0,0.0,0.0,0.0
1629301500,0.0,0.0,0.0,0.0,0.0,1.89432,0.0,0.0,0.0,0.0
1629301620,410.388,0.0,0.0,0.0,0.0,1.89444,0.0,0.0,0.0,0.0
1629301740,410.388,0.0,0.0,0.0,0.0,1.89444,0.0,0.0,0.0,0.0
1629301860,410.38812,0.0,0.0,0.0,0.0,1.89436,0.0,0.0,0.0,0.0
1629301980,410.404,0.0,0.0,0.0,0.0,1.89448,0.0,0.0,0.0,0.0
1629302100,410.35971,0.0,0.0,0.0,0.0,1.89432,0.0,0.0,0.0,0.0
1629302220,410.31676,0.0,0.0,0.0,0.0,1.89416,0.0,0.0,0.0,0.0
1629302340,410.37039,0.0,0.0,0.0,0.0,1.89432,0.0,0.0,0.0,0.0
1629302460,410.35403,0.0,0.0,0.0,0.0,1.89423,0.0,0.0,0.0,0.0
1629302580,410.37218,0.0,0.0,0.0,0.0,1.89418,0.0,0.0,0.0,0.0
1629302700,410.37827,0.0,0.0,0.0,0.0,1.89416,0.0,0.0,0.0,0.0
1629302820,410.38073,0.0,0.0,0.0,0.0,1.89411,0.0,0.0,0.0,0.0
1629302940,410.35538,0.0,0.0,0.0,0.0,1.89396,0.0,0.0,0.0,0.0
1629303060,410.37286,0.0,0.0,0.0,0.0,1.89398,0.0,0.0,0.0,0.0
1629303180,410.34656,0.0,0.0,0.0,0.0,1.89387,0.0,0.0,0.0,0.0
