utc-date,utc-time,temperature,pressure
2017-06-09,00:10:00,+9.6000e+00,+9.9702e+02
2017-06-09,00:20:00,+9.5000e+00,+9.9712e+02
2017-06-09,00:30:00,+9.4000e+00,+9.9712e+02
2017-06-09,00:40:00,+9.3000e+00,+9.9722e+02
2017-06-09,00:50:00,+9.2000e+00,+9.9722e+02
2017-06-09,01:00:00,+9.2000e+00,+9.9712e+02
2017-06-09,01:10:00,+9.2000e+00,+9.9712e+02
2017-06-09,01:20:00,+9.2000e+00,+9.9712e+02
2017-06-09,01:30:00,+9.4000e+00,+9.9712e+02
2017-06-09,01:40:00,+1.0200e+01,+9.9712e+02
2017-06-09,01:50:00,+1.0400e+01,+9.9712e+02
2017-06-09,02:00:00,+1.1100e+01,+9.9712e+02
2017-06-09,02:10:00,+1.1900e+01,+9.9712e+02
2017-06-09,02:20:00,+1.2800e+01,+9.9712e+02
2017-06-09,02:30:00,+1.3700e+01,+9.9702e+02
2017-06-09,02:40:00,+1.4200e+01,+9.9692e+02
2017-06-09,02:50:00,+1.4400e+01,+9.9682e+02
2017-06-09,03:10:00,+1.5000e+01,+9.9682e+02
2017-06-09,03:20:00,+1.5000e+01,+9.9682e+02
2017-06-09,03:30:00,+1.5200e+01,+9.9682e+02
2017-06-09,03:40:00,+1.5600e+01,+9.9682e+02
2017-06-09,03:50:00,+1.5900e+01,+9.9672e+02
2017-06-09,04:00:00,+1.6100e+01,+9.9672e+02
2017-06-09,04:10:00,+1.6500e+01,+9.9662e+02
2017-06-09,04:20:00,+1.6800e+01,+9.9662e+02
2017-06-09,04:30:00,+1.6800e+01,+9.9662e+02
2017-06-09,04:40:00,+1.7300e+01,+9.9662e+02
2017-06-09,04:50:00,+1.7700e+01,+9.9662e+02
2017-06-09,05:00:00,+1.7800e+01,+9.9662e+02
2017-06-09,05:10:00,+1.8100e+01,+9.9662e+02
2017-06-09,05:20:00,+1.8400e+01,+9.9662e+02
2017-06-09,05:30:00,+1.8600e+01,+9.9662e+02
2017-06-09,05:40:00,+1.8900e+01,+9.9662e+02
2017-06-09,05:50:00,+1.9400e+01,+9.9662e+02
2017-06-09,06:10:00,+1.9600e+01,+9.9652e+02
2017-06-09,06:20:00,+2.0100e+01,+9.9662e+02
2017-06-09,06:30:00,+2.0500e+01,+9.9662e+02
2017-06-09,06:40:00,+2.0500e+01,+9.9662e+02
2017-06-09,06:50:00,+2.0500e+01,+9.9652e+02
2017-06-09,07:00:00,+2.1000e+01,+9.9642e+02
2017-06-09,07:10:00,+2.1100e+01,+9.9642e+02
2017-06-09,07:20:00,+2.1100e+01,+9.9632e+02
2017-06-09,07:30:00,+2.1200e+01,+9.9632e+02
2017-06-09,07:40:00,+2.0900e+01,+9.9632e+02
2017-06-09,07:50:00,+2.1600e+01,+9.9622e+02
2017-06-09,08:00:00,+2.1500e+01,+9.9622e+02
2017-06-09,08:10:00,+2.1300e+01,+9.9612e+02
2017-06-09,08:20:00,+2.2000e+01,+9.9612e+02
2017-06-09,08:30:00,+2.2000e+01,+9.9612e+02
2017-06-09,08:40:00,+2.2200e+01,+9.9612e+02
2017-06-09,08:50:00,+2.2100e+01,+9.9602e+02
2017-06-09,09:10:00,+2.2400e+01,+9.9582e+02
2017-06-09,09:20:00,+2.2900e+01,+9.9582e+02
2017-06-09,09:30:00,+2.3400e+01,+9.9572e+02
2017-06-09,09:40:00,+2.3800e+01,+9.9562e+02
2017-06-09,09:50:00,+2.3500e+01,+9.9562e+02
2017-06-09,10:00:00,+2.3800e+01,+9.9552e+02
2017-06-09,10:10:00,+2.3700e+01,+9.9552e+02
2017-06-09,10:20:00,+2.3500e+01,+9.9542e+02
2017-06-09,10:30:00,+2.3500e+01,+9.9542e+02
2017-06-09,10:40:00,+2.3900e+01,+9.9532e+02
2017-06-09,10:50:00,+2.3700e+01,+9.9522e+02
2017-06-09,11:00:00,+2.3600e+01,+9.9522e+02
2017-06-09,11:10:00,+2.3700e+01,+9.9512e+02
2017-06-09,11:20:00,+2.3500e+01,+9.9502e+02
2017-06-09,11:30:00,+2.3900e+01,+9.9502e+02
2017-06-09,11:40:00,+2.3500e+01,+9.9502e+02
2017-06-09,11:50:00,+2.3800e+01,+9.9492e+02
2017-06-09,12:10:00,+2.4200e+01,+9.9482e+02
2017-06-09,12:20:00,+2.4500e+01,+9.9482e+02
2017-06-09,12:30:00,+2.4500e+01,+9.9482e+02
2017-06-09,12:40:00,+2.4900e+01,+9.9472e+02
2017-06-09,12:50:00,+2.4800e+01,+9.9472e+02
2017-06-09,13:00:00,+2.4700e+01,+9.9472e+02
2017-06-09,13:10:00,+2.4400e+01,+9.9462e+02
2017-06-09,13:20:00,+2.3900e+01,+9.9452e+02
2017-06-09,13:30:00,+2.4200e+01,+9.9452e+02
2017-06-09,13:40:00,+2.3600e+01,+9.9442e+02
2017-06-09,13:50:00,+2.3500e+01,+9.9442e+02
2017-06-09,14:00:00,+2.4000e+01,+9.9442e+02
2017-06-09,14:10:00,+2.3500e+01,+9.9442e+02
2017-06-09,14:20:00,+2.3300e+01,+9.9432e+02
2017-06-09,14:30:00,+2.3500e+01,+9.9432e+02
2017-06-09,14:40:00,+2.3900e+01,+9.9422e+02
2017-06-09,14:50:00,+2.3600e+01,+9.9412e+02
2017-06-09,15:10:00,+2.4700e+01,+9.9402e+02
2017-06-09,15:20:00,+2.4700e+01,+9.9392e+02
2017-06-09,15:30:00,+2.4300e+01,+9.9382e+02
2017-06-09,15:40:00,+2.4400e+01,+9.9382e+02
2017-06-09,15:50:00,+2.4200e+01,+9.9372e+02
2017-06-09,16:00:00,+2.4100e+01,+9.9372e+02
2017-06-09,16:10:00,+2.4100e+01,+9.9362e+02
