Instrument,Channel1ME,Channel1PE,Channel2ME,Channel2PE,ValidSince
SN029,0.986200,+0.001400,0.986200,+0.001400,2017-11-21
SN029,0.987800,-0.000224,0.987800,-0.000224,2018-07-03
SN032,0.986200,+0.003400,0.986200,+0.003400,2014-07-15
SN032,0.987000,+0.001280,0.987000,+0.001280,2016-09-09
SN032,0.982700,+0.002953,0.982700,+0.002953,2021-01-04
SN032,0.982900,+0.002201,0.982900,+0.002201,2021-02-16
SN033,0.981400,-0.001700,0.981400,-0.001700,2017-08-08
SN034,0.987700,-0.000327,0.987700,-0.000327,2018-07-17
SN037,0.986200,+0.001900,0.986200,+0.001900,2014-07-15
SN037,0.982600,+0.003163,0.982600,+0.003163,2019-04-23
SN037,0.982400,+0.001824,0.982400,+0.001824,2021-03-19
SN038,0.978400,+0.000900,0.978400,+0.000900,2014-07-15
SN039,0.981100,-0.000500,0.981100,-0.000500,2014-07-15
SN039,0.979200,-0.002300,0.979200,-0.002300,2016-09-09
SN039,0.981600,-0.002440,0.981600,-0.002440,2017-02-10
SN039,0.979200,-0.002988,0.979200,-0.002988,2020-07-22
SN039,0.984300,-0.002601,0.984300,-0.002601,2022-05-30
SN039,0.980500,-0.001443,0.980500,-0.001443,2022-10-01
SN039,0.984000,-0.001542,0.984000,-0.001542,2023-03-07
SN041,0.983500,+0.000100,0.983500,+0.000100,2014-07-15
SN041,0.984000,-0.002494,0.984000,-0.002494,2017-05-15
SN042,0.975200,+0.003900,0.975200,+0.003900,2016-07-28
SN042,0.983600,+0.002447,0.983600,+0.002447,2019-04-02
SN044,0.972800,-0.005602,0.972800,-0.005602,2017-02-28
SN045,0.984500,+0.003400,0.984500,+0.003400,2017-02-25
SN045,0.984700,+0.001866,0.984700,+0.001866,2017-07-25
SN046,0.985900,+0.000993,0.985900,+0.000993,2017-07-25
SN050,0.983900,+0.002300,0.983900,+0.002300,2017-03-17
SN050,0.988000,+0.001203,0.988000,+0.001203,2021-02-18
SN051,0.984700,+0.001700,0.984700,+0.001700,2014-12-04
SN051,0.987700,+0.000823,0.987700,+0.000823,2019-01-22
SN051,0.990100,-0.002350,0.990100,-0.002350,2021-08-02
SN052,0.985400,+0.004800,0.985400,+0.004800,2017-03-17
SN052,0.986500,+0.004455,0.986500,+0.004455,2018-11-13
SN053,0.983000,+0.002500,0.983000,+0.002500,2017-03-17
SN053,0.989100,+0.000584,0.989100,+0.000584,2018-11-12
SN059,0.988600,+0.002900,0.988600,+0.002900,2017-06-30
SN059,0.985100,+0.001716,0.985100,+0.001716,2021-01-25
SN061,0.989200,-0.001082,0.989200,-0.001082,2015-08-05
SN062,0.979900,+0.004075,0.979900,+0.004075,2016-01-21
SN063,0.985300,+0.001100,0.985300,+0.001100,2016-01-21
SN063,0.988500,+0.001434,0.988500,+0.001434,2017-12-19
SN065,0.987200,+0.001057,0.987200,+0.001057,2016-05-10
SN069,0.986300,+0.003000,0.986300,+0.003000,2017-07-10
SN069,0.987600,+0.002075,0.987600,+0.002075,2019-10-15
SN070,0.978900,+0.004659,0.978900,+0.004659,2016-08-02
SN072,0.997500,+0.001792,0.997500,+0.001792,2017-02-08
SN075,0.996900,+0.002442,0.996900,+0.002442,2017-05-15
SN076,1.021000,-0.000313,1.021000,-0.000313,2017-06-08
SN077,0.987100,+0.000233,0.987100,+0.000233,2017-09-26
SN080,0.986500,-0.002753,0.986500,-0.002753,2018-04-17
