SERIAL_NUMBER,CHANNEL1_ME,CHANNEL1_PE,CHANNEL2_ME,CHANNEL2_PE,VALID_SINCE
29,0.986200,+0.001400,0.986200,+0.001400,2017-11-21
29,0.987800,-0.000224,0.987800,-0.000224,2018-07-03
32,0.986200,+0.003400,0.986200,+0.003400,2014-07-15
32,0.987000,+0.001280,0.987000,+0.001280,2016-09-09
32,0.982700,+0.002953,0.982700,+0.002953,2021-01-04
32,0.982900,+0.002201,0.982900,+0.002201,2021-02-16
33,0.981400,-0.001700,0.981400,-0.001700,2017-08-08
34,0.987700,-0.000327,0.987700,-0.000327,2018-07-17
37,0.978200,-0.001389,0.978200,-0.001389,2014-06-03
37,0.985200,-0.002241,0.985200,-0.002241,2014-07-15
37,0.988600,-0.001965,0.988600,-0.001965,2014-09-25
37,0.984300,-0.000683,0.984300,-0.000683,2015-08-13
37,0.988100,+0.002557,0.988100,+0.002557,2016-09-09
37,0.988100,+0.001853,0.988100,+0.001853,2017-03-17
37,0.987300,+0.001759,0.987300,+0.001759,2017-05-15
37,0.987200,+0.001826,0.987200,+0.001826,2017-07-25
37,0.988000,+0.001771,0.988000,+0.001771,2017-09-20
37,0.988200,+0.002000,0.988200,+0.002000,2017-10-11
37,0.987500,+0.001770,0.987500,+0.001770,2017-11-21
37,0.983700,+0.002044,0.983700,+0.002044,2018-01-25
37,0.982600,+0.001929,0.982600,+0.001929,2018-11-12
37,0.982600,+0.003163,0.982600,+0.003163,2019-04-23
37,0.982300,+0.002088,0.982300,+0.002088,2020-12-29
37,0.981300,+0.001135,0.981300,+0.001135,2021-01-05
37,0.980500,+0.001501,0.980500,+0.001501,2021-02-18
37,0.982400,+0.001824,0.982400,+0.001824,2021-02-19
37,0.981300,+0.001541,0.981300,+0.001541,2021-02-23
37,0.980900,+0.001517,0.980900,+0.001517,2021-02-24
37,0.982400,+0.002088,0.982400,+0.002088,2021-02-25
37,0.982100,+0.001701,0.982100,+0.001701,2021-02-26
37,0.981700,+0.002104,0.981700,+0.002104,2021-03-03
37,0.981700,+0.002255,0.981700,+0.002255,2021-03-04
37,0.982000,+0.000597,0.982000,+0.000597,2021-03-05
37,0.983700,+0.001140,0.983700,+0.001140,2021-03-08
37,0.982100,+0.001676,0.982100,+0.001676,2021-03-09
37,0.982300,+0.002094,0.982300,+0.002094,2021-03-10
37,0.982700,+0.002034,0.982700,+0.002034,2021-03-11
